Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
1,Amit Sharma,Male,5/14/2002,23,6.69,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.C.A.,Computer Applications,53.83,2021,Holy Convent School,CBSE,Commerce,79.33,2018,Jaspal Kaur Public School,CBSE,85.16,2018
2,Pooja Verma,Female,8/25/1998,27,7.53,Asutosh College,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.E.,Biology,68.35,2020,Kishinchand Chellaram College,CBSE,Science,92.6,2015,Delhi Public School,CBSE,89.3,2013
3,Rahul Kumar,Female,3/26/2002,23,7.7,St. Xavier'S College,Amity University,B.Com. (Hons.),Finance,74.16,2022,Delhi Public School,CBSE,Commerce,85.33,2019,Delhi Public School,CBSE,91.67,2017
4,Neha Agarwal,Male,8/15/1997,26,5.82,School Of Commerce,Jaypee Institute Of Information Technology,B.Tech,Electronics And Communication Engineering,68,2019,G.A.V. Public School,CBSE,Science (Non-Medical),80.33,2015,Carmel Convent Senior Secondary School,ICSE,72.2,2013
5,Rohan Das,Male,8/16/1999,25,6.8,Government Engineering College,Vellore Institute Of Technology,B.A. (Hons.),Economics,64.24,2021,Summer Fields School,CBSE,Science (Medical),67.6,2017,Salt Lake School,CBSE,83.6,2015
6,Swati Gupta,Female,6/24/1996,28,8.35,National Institute Of Fashion Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,67.56,2017,Springdales School,CBSE,Commerce,79.6,2014,Lake Montfort School,CBSE,77.9,2011
6,Suresh Joshi,Female,7/18/2000,24,8.05,Amity Law School,University Of Delhi,B.A. (Hons.),Business Economics,78.75,2021,Modern Public School,CBSE,Science (Non-Medical),86.6,2018,Delhi Public School,CBSE,93.1,2016
8,Kajal Patel,Male,9/28/1999,23,6.9,Lovely Professional University,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,82.7,2021,Lovely Public Senior Secondary School,CBSE,Science (Non-Medical),66.4,2018,Navy Children School,CBSE,81.7,2016
9,Arun Bakshi,Male,1/21/2000,23,8.13,Institute Of Management Nirma University,Madras University,B.Pharm,Law,81.11,2021,Sri Chaitanya Junior Kalasala,CBSE,Science (Medical),87,2018,Maharaja Agrasen Vidyapeeth,CBSE,87.4,2016
10,Meena Pandey,Male,7/26/2002,28,8.41,College Of Engineering,Jaypee Institute Of Information Technology,B.E.,Hotel Management,70,2018,Ess Ess Convent Senior Secondary School,CBSE,Commerce,66,2014,Carmel Convent Senior Secondary School,CBSE,76,2011
11,Sharad Oberoi,Male,3/15/2000,27,7.3,The Northcap University,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,73.2,2018,New Era Public School,CBSE,Commerce,86,2015,Ryan International School,CBSE,77.9,2013
12,Harsh Patel,Male,4/14/2001,24,5.83,Department Of External Education And Learning (Deel),C. V. Raman Global University,BDS,Food Science And Technology,71.7,2022,Convent Of Gagan Bharti,CBSE,Science (Non-Medical),88.25,2017,PHSS Perinthalmanna,ICSE,95,2015
13,Ashwin Hanjra,Male,10/24/1998,22,7.27,College Of Vocational Studies,University Of Delhi,B.Com. (Hons.),Commerce,79.73,2021,Mira Model School,CBSE,Commerce,87.8,2018,Rukmini Devi Public School,CBSE,93.1,2016
14,Aarav Kapoor,Male,8/14/1998,23,6.95,J.P Shah College,Gujarat Law Society (G.L.S) University,B.B.A.,Marketing And Human Resource,79.7,2023,Summer Fields School,CBSE,Commerce,81.6,2020,Vidya Bharati Chinmaya Vidyalaya,ICSE,81.7,2018
15,Shailee Chaudhary,Female,3/28/1999,22,8.73,Jagannath Community College,Jagannath University Bahadurgarh,B.B.A.,Marketing And Finance,84.05,2023,Summer Fields School,CBSE,Commerce,84.2,2018,Convent of Jesus and Mary,CBSE,93.1,2016
16,Nitin Kapoor,Male,10/25/2000,25,8.33,Shaheed Bhagat Singh College (Evening),University Of Delhi,B.Sc. (Hons.),Zoology,75.48,2020,Government Boys Higher Secondary School,Assam Higher Secondary Education Council,Science (Medical),81.6,2017,Dynasty International School,Jammu and Kashmir State Board of School Education (JKBOSE),95,2015
17,Kunal Patnaik,Male,8/21/2000,23,6.79,Lovely Professional University,Lovely Professional University,B.Tech,Civil Engineering,79.1,2022,La Martiniere College,CBSE,Science (Non-Medical),81.6,2018,Lancer's Convent School,CBSE,95,2016
18,Shreya Dhillon,Female,3/25/2002,22,7.51,Shyama Prasad Mukherjee College For Women,University Of Delhi,B.Com. (Hons.),General,72.3,2023,Vikas Bharati Public School,CBSE,Commerce,91.8,2020,Puranchandra Vidyaniketan,CBSE,93.16,2018
19,Fatima Suri,Female,5/30/1998,24,7.88,Ram Lal Anand College,University Of Delhi,B.A. (Hons.),Economics,87.69,2022,Lotus Valley International School,CBSE,Arts/ Humanities,94.67,2017,Delhi Public School R.K Puram,CBSE,93.1,2015
20,Kabir Nigam,Male,3/13/1998,26,7.34,Satyawati College,Calcutta University,B.B.A.,General,73.2,2020,Kendriya Vidyalaya No. 1,CBSE,Commerce,77.8,2016,Kendriya Vidyalaya Masjid Moth,CBSE,95,2014
21,Riya Lal,Female,7/29/2002,23,6.58,Amity University,Amity University,B.Com. (Hons.),General,79.6,2022,Manav Rachna International School,CBSE,Commerce,87.6,2019,Maheshwari Public School RIICO P-II Bagru Jaipur,CBSE,81.7,2017
22,Manish Mohanty,Male,9/30/2000,24,6.82,Kalinga Institute Of Industrial Technology,Kalinga Institute Of Industrial Technology,B.Tech,Commerce,76.9,2021,Samrat Public School,CBSE,Science (Non-Medical),90.5,2018,Mira Model School,CBSE,93.1,2016
23,Kunal Nair,Male,2/21/1999,25,7.55,Future Institute Of Technology,Dr. A.P.J. Abdul Kalam Technical University,B.A. LLB,Finance,80.6,2023,K.R. Mangalam World School,CBSE,Arts/ Humanities,95,2016,Lord Mahavira Academy,ICSE,95,2014
24,Devendra Kulkarni,Male,3/17/1994,25,7.02,Mes Abasaheb Garware College Of Arts And Science Pune,Kurukshetra University,B.Com. (Hons.),Logistics Management,80.2,2020,St. Xavier'S School,West Bengal Council of Higher Secondary Education,Commerce,74,2018,Dasmesh Public School,West Bengal Board of Secondary Education,79.8,2016
25,Dinesh Iyer,Male,8/17/1998,21,7.32,Maharaja Surajmal Institute,Symbiosis International University,B.Sc.,Hotel Management,77.45,2022,Jinvani Bharti Public School,CBSE,Science (Non-Medical),75.8,2018,MDH International School,CBSE,85.5,2016
26,Riya Bose,Female,2/20/2002,23,6.46,Gargi College,University Of Delhi,B.A. (Hons.),English,65,2022,Amity International School,CBSE,Science (Non-Medical),89.2,2019,Our Lady of Fatima,CBSE,91.2,2017
27,Raghav Suri,Male,4/27/2001,22,7.54,Goswami Ganesh Dutta Sanatan Dharma College,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.B.A.,Management,75.62,2022,R.R.K. Senior Secondary School,CBSE,Commerce,86.8,2018,MVN Aravali Hills,CBSE,81.7,2016
28,Pallavi Pillai,Female,7/27/2002,24,8.31,Panjab University Main Campus,The Assam Royal Global University,B.B.A.,General,78.75,2021,Shree Sanatan Dharm Education Centre,RBSE,Commerce,53.5,2018,"Delhi public school, Megacity",CBSE,79.8,2016
29,Shraddha Dwivedi,Female,7/14/1998,22,7.58,Keshav Mahavidyalaya,University Of Delhi,B.A. (Hons.),Economics,87.55,2022,Queen'S Convent School,CBSE,Commerce,95.33,2019,Pragati Public School,CBSE,95,2017
30,Jitendra Suri,Male,9/20/1998,22,6.36,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.B.A.,General,77.81,2021,Haryana Council Of Open Schooling,CBSE,Commerce,74,2018,Innocent Children Academy,CBSE,91.2,2016
31,Aman Rathi,Male,10/30/1999,23,7.04,Thakur College Of Science And Commerce,Mumbai University,B.B.A.,Commerce,78.83,2022,Maheshwari Public School Riico P-Ii,CBSE,Commerce,80.6,2019,Manav Rachna International School,ICSE,81.7,2017
32,Aman Tiwari,Male,8/26/2001,25,6.43,University College Of Commerce And Management Studies,Barkatullah University,B.Com. (Hons.),Electrical And Electronics Engineering,71.82,2019,Lancer Convent School,CBSE,Science (Non-Medical),87.5,2014,Mansur Habibullah Memorial School,CBSE,93.1,2011
