Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
1,Amit Sharma,Male,5/14/2002,23,6.69,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.C.A.,Computer Applications,53.83,2021,Holy Convent School,CBSE,Commerce,79.33,2018,Jaspal Kaur Public School,CBSE,85.16,2018,Yes,3 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,International Business,Marketing,Titan Company Limited,Sales Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
2,Pooja Verma,Female,8/25/1998,27,7.53,Asutosh College,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.E.,Biology,68.35,2020,Kishinchand Chellaram College,CBSE,Science,92.6,2015,Delhi Public School,CBSE,89.3,2013,Yes,3 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati",Marketing Analytics Manager,Finance,Marketing,Gangwar Investment and Insurance Services,Human Resource Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
3,Rahul Kumar,Female,3/26/2002,23,7.7,St. Xavier'S College,Amity University,B.Com. (Hons.),Finance,74.16,2022,Delhi Public School,CBSE,Commerce,85.33,2019,Delhi Public School,CBSE,91.67,2017,Yes,5 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Finance,OneShield Software India,Finance Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
4,Neha Agarwal,Male,8/15/1997,26,5.82,School Of Commerce,Jaypee Institute Of Information Technology,B.Tech,Electronics And Communication Engineering,68,2019,G.A.V. Public School,CBSE,Science (Non-Medical),80.33,2015,Carmel Convent Senior Secondary School,ICSE,72.2,2013,No,2 months,Yes,45 months,Bagarwala Agencies,45 months,Hotel industry,Cognitive and AI Automation,Systems Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Information Technology,Jindal Saw,Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
5,Rohan Das,Male,8/16/1999,25,6.8,Government Engineering College,Vellore Institute Of Technology,B.A. (Hons.),Economics,64.24,2021,Summer Fields School,CBSE,Science (Medical),67.6,2017,Salt Lake School,CBSE,83.6,2015,Yes,2 months,Yes,7 months,iControls & Systems,7 months,Consultancy,Accounts,"Associate , Invoicing (Cancellations)",No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,Big Data Analytics,Marketing,Nasher Miles,Investment Analyst,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
6,Swati Gupta,Female,6/24/1996,28,8.35,National Institute Of Fashion Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,67.56,2017,Springdales School,CBSE,Commerce,79.6,2014,Lake Montfort School,CBSE,77.9,2011,No,0 months,Yes,32 months,Public Health Foundation Of India,18 months,Financial Services & Insurance,Marketing,Engineer,HMX: Cooling and Heating Solutions,6 months,Non-Profit Think tank,Operations,Quality Engineer,Parexel International Services India Private Limited,8 months,Travel,Operations,Electrician,"English, Hindi",Strategy Analyst,Finance,Marketing,Rancho Labs,B2B sales,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
6,Suresh Joshi,Female,7/18/2000,24,8.05,Amity Law School,University Of Delhi,B.A. (Hons.),Business Economics,78.75,2021,Modern Public School,CBSE,Science (Non-Medical),86.6,2018,Delhi Public School,CBSE,93.1,2016,Yes,3 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,ICICI Bank,Summer Intern (Branding),"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
8,Kajal Patel,Male,9/28/1999,23,6.9,Lovely Professional University,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,82.7,2021,Lovely Public Senior Secondary School,CBSE,Science (Non-Medical),66.4,2018,Navy Children School,CBSE,81.7,2016,No,7 months,Yes,35 months,Sayveg,20 months,Pharmaceutical,Sales,Sales Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Icici Bank,Merchant Aquisition Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
9,Arun Bakshi,Male,1/21/2000,23,8.13,Institute Of Management Nirma University,Madras University,B.Pharm,Law,81.11,2021,Sri Chaitanya Junior Kalasala,CBSE,Science (Medical),87,2018,Maharaja Agrasen Vidyapeeth,CBSE,87.4,2016,Yes,2 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Assamese",Marketing Analytics Manager,Finance,Marketing,Sharda motors industries Ltd,Intern - Due diligence,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
10,Meena Pandey,Male,7/26/2002,28,8.41,College Of Engineering,Jaypee Institute Of Information Technology,B.E.,Hotel Management,70,2018,Ess Ess Convent Senior Secondary School,CBSE,Commerce,66,2014,Carmel Convent Senior Secondary School,CBSE,76,2011,Yes,11 months,No,17 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, German",Management Consultant,Big Data Analytics,Marketing,"Rancho Labs, IIT Delhi",Agency Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
11,Sharad Oberoi,Male,3/15/2000,27,7.3,The Northcap University,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,73.2,2018,New Era Public School,CBSE,Commerce,86,2015,Ryan International School,CBSE,77.9,2013,Yes,1 months,Yes,22 months,Deloitte Touche Tohmatsu India LLP,20 months,Retail,Finance,Production Engineer,D.M International,15 months,Entertainment,Sales,Account Manager,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,Finance,Marketing,ONGC videsh,Finance Trainee,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
12,Harsh Patel,Male,4/14/2001,24,5.83,Department Of External Education And Learning (Deel),C. V. Raman Global University,BDS,Food Science And Technology,71.7,2022,Convent Of Gagan Bharti,CBSE,Science (Non-Medical),88.25,2017,PHSS Perinthalmanna,ICSE,95,2015,Yes,6 months,No,14 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,N.A.,Marketing research intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
13,Ashwin Hanjra,Male,10/24/1998,22,7.27,College Of Vocational Studies,University Of Delhi,B.Com. (Hons.),Commerce,79.73,2021,Mira Model School,CBSE,Commerce,87.8,2018,Rukmini Devi Public School,CBSE,93.1,2016,Yes,6 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Axis Bank,Sales & Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
14,Aarav Kapoor,Male,8/14/1998,23,6.95,J.P Shah College,Gujarat Law Society (G.L.S) University,B.B.A.,Marketing And Human Resource,79.7,2023,Summer Fields School,CBSE,Commerce,81.6,2020,Vidya Bharati Chinmaya Vidyalaya,ICSE,81.7,2018,No,9 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, German, Marathi",Marketing Analytics Manager,Finance,Marketing,NuvoRetail Enlytical Technologies Private Limited,Area Sales Manager Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
15,Shailee Chaudhary,Female,3/28/1999,22,8.73,Jagannath Community College,Jagannath University Bahadurgarh,B.B.A.,Marketing And Finance,84.05,2023,Summer Fields School,CBSE,Commerce,84.2,2018,Convent of Jesus and Mary,CBSE,93.1,2016,No,7 months,No,33 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Associate,Finance,Marketing,GEP Worldwide,Business Analytics Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
